"COMUNA","BARRIO","PERIODO","MES","Atropello","Caída Ocupante","Choque","Incendio","Otro","Volcamiento","nro.accidentes"
"Aranjuez","Aranjuez",2014,1,3,0,2,0,1,0,6
"Aranjuez","Aranjuez",2014,2,1,0,3,0,0,0,4
"Aranjuez","Aranjuez",2014,3,3,0,5,0,0,1,9
"Aranjuez","Aranjuez",2014,4,0,1,4,0,2,0,7
"Aranjuez","Aranjuez",2014,5,1,5,4,0,0,0,10
"Aranjuez","Aranjuez",2014,6,3,0,5,0,0,0,8
"Aranjuez","Aranjuez",2014,7,0,0,1,0,1,0,2
"Aranjuez","Aranjuez",2014,8,0,0,2,0,1,0,3
"Aranjuez","Aranjuez",2014,9,0,2,1,0,0,0,3
"Aranjuez","Aranjuez",2014,10,0,0,6,0,2,0,8
"Aranjuez","Aranjuez",2014,11,0,1,4,0,1,0,6
"Aranjuez","Aranjuez",2014,12,0,1,4,0,1,0,6
"Aranjuez","Aranjuez",2015,1,3,2,2,0,0,1,8
"Aranjuez","Aranjuez",2015,2,1,0,8,0,2,0,11
"Aranjuez","Aranjuez",2015,3,1,1,3,0,3,0,8
"Aranjuez","Aranjuez",2015,4,2,0,3,0,0,0,5
"Aranjuez","Aranjuez",2015,5,1,0,6,0,1,0,8
"Aranjuez","Aranjuez",2015,6,2,0,4,0,2,1,9
"Aranjuez","Aranjuez",2015,7,3,0,5,0,0,3,11
"Aranjuez","Aranjuez",2015,8,1,0,1,0,0,0,2
"Aranjuez","Aranjuez",2015,9,0,2,3,0,4,1,10
"Aranjuez","Aranjuez",2015,10,1,0,4,0,0,0,5
"Aranjuez","Aranjuez",2015,11,0,1,2,0,0,1,4
"Aranjuez","Aranjuez",2015,12,2,0,3,0,0,0,5
"Aranjuez","Aranjuez",2016,1,1,1,5,0,0,0,7
"Aranjuez","Aranjuez",2016,2,1,3,7,0,1,0,12
"Aranjuez","Aranjuez",2016,3,0,1,4,0,1,1,7
"Aranjuez","Aranjuez",2016,4,1,1,4,0,0,0,6
"Aranjuez","Aranjuez",2016,5,2,2,0,0,2,1,7
"Aranjuez","Aranjuez",2016,6,0,1,4,0,0,0,5
"Aranjuez","Aranjuez",2016,7,0,1,4,0,1,0,6
"Aranjuez","Aranjuez",2016,8,1,1,1,0,0,0,3
"Aranjuez","Aranjuez",2016,9,1,0,3,0,1,0,5
"Aranjuez","Aranjuez",2016,10,0,1,2,0,1,0,4
"Aranjuez","Aranjuez",2016,11,2,1,0,0,0,1,4
"Aranjuez","Aranjuez",2016,12,2,0,5,0,0,0,7
"Aranjuez","Aranjuez",2017,1,1,0,4,0,0,0,5
"Aranjuez","Aranjuez",2017,2,1,0,3,0,2,0,6
"Aranjuez","Aranjuez",2017,3,1,0,4,0,1,1,7
"Aranjuez","Aranjuez",2017,4,1,0,6,0,2,0,9
"Aranjuez","Aranjuez",2017,5,0,0,5,0,0,2,7
"Aranjuez","Aranjuez",2017,6,1,0,4,0,1,2,8
"Aranjuez","Aranjuez",2017,7,0,0,3,0,2,0,5
"Aranjuez","Aranjuez",2017,8,2,2,7,0,2,0,13
"Aranjuez","Aranjuez",2017,9,0,1,3,0,0,0,4
"Aranjuez","Aranjuez",2017,10,0,0,3,0,0,1,4
"Aranjuez","Aranjuez",2017,11,1,0,1,0,0,0,2
"Aranjuez","Aranjuez",2017,12,0,2,3,0,0,0,5
"Aranjuez","Aranjuez",2018,1,0,1,3,0,1,0,5
"Aranjuez","Aranjuez",2018,2,1,0,5,0,0,0,6
"Aranjuez","Aranjuez",2018,3,2,1,2,0,2,0,7
"Aranjuez","Aranjuez",2018,4,2,3,2,0,1,0,8
"Aranjuez","Aranjuez",2018,5,1,4,2,0,0,0,7
"Aranjuez","Aranjuez",2018,6,0,0,1,0,0,0,1
"Aranjuez","Aranjuez",2018,7,1,1,1,0,2,0,5
"Aranjuez","Aranjuez",2018,8,0,2,4,0,1,0,7
"Aranjuez","Aranjuez",2018,9,0,0,4,0,0,0,4
"Aranjuez","Aranjuez",2018,10,0,0,2,0,0,0,2
"Aranjuez","Aranjuez",2018,11,0,3,7,0,0,0,10
"Aranjuez","Aranjuez",2018,12,1,1,2,0,1,0,5
"Aranjuez","Aranjuez",2019,1,1,0,4,0,1,0,6
"Aranjuez","Aranjuez",2019,2,2,0,4,0,1,0,7
"Aranjuez","Aranjuez",2019,3,2,0,4,0,2,0,8
"Aranjuez","Aranjuez",2019,4,1,1,3,0,2,0,7
"Aranjuez","Aranjuez",2019,5,0,1,3,0,0,1,5
"Aranjuez","Aranjuez",2019,6,0,0,4,0,0,1,5
"Aranjuez","Aranjuez",2019,7,2,1,2,0,1,0,6
"Aranjuez","Aranjuez",2019,8,2,0,3,0,1,1,7
"Aranjuez","Aranjuez",2019,9,0,2,0,0,0,0,2
"Aranjuez","Aranjuez",2019,10,1,1,0,0,2,0,4
"Aranjuez","Aranjuez",2019,11,2,1,5,0,2,0,10
"Aranjuez","Aranjuez",2019,12,1,3,7,0,1,1,13
"Aranjuez","Berlín",2014,1,2,1,8,0,1,0,12
"Aranjuez","Berlín",2014,2,1,1,6,0,3,0,11
"Aranjuez","Berlín",2014,3,6,4,5,0,1,1,17
"Aranjuez","Berlín",2014,4,4,3,9,0,2,0,18
"Aranjuez","Berlín",2014,5,6,1,13,0,1,0,21
"Aranjuez","Berlín",2014,6,6,2,3,0,2,1,14
"Aranjuez","Berlín",2014,7,8,1,10,0,0,0,19
"Aranjuez","Berlín",2014,8,3,3,4,0,3,0,13
"Aranjuez","Berlín",2014,9,4,2,3,0,0,0,9
"Aranjuez","Berlín",2014,10,1,3,5,0,2,0,11
"Aranjuez","Berlín",2014,11,2,2,6,0,1,1,12
"Aranjuez","Berlín",2014,12,3,1,5,0,1,0,10
"Aranjuez","Berlín",2015,1,1,0,7,0,0,1,9
"Aranjuez","Berlín",2015,2,4,0,6,0,0,0,10
"Aranjuez","Berlín",2015,3,2,3,10,0,1,4,20
"Aranjuez","Berlín",2015,4,4,3,8,0,3,0,18
"Aranjuez","Berlín",2015,5,3,1,5,0,2,0,11
"Aranjuez","Berlín",2015,6,1,2,7,0,1,0,11
"Aranjuez","Berlín",2015,7,7,3,10,0,1,0,21
"Aranjuez","Berlín",2015,8,0,3,8,0,2,0,13
"Aranjuez","Berlín",2015,9,3,1,8,0,2,0,14
"Aranjuez","Berlín",2015,10,3,4,9,0,1,1,18
"Aranjuez","Berlín",2015,11,2,1,5,0,4,0,12
"Aranjuez","Berlín",2015,12,5,0,5,0,1,1,12
"Aranjuez","Berlín",2016,1,2,0,4,0,0,0,6
"Aranjuez","Berlín",2016,2,2,5,6,0,2,0,15
"Aranjuez","Berlín",2016,3,4,1,6,0,2,2,15
"Aranjuez","Berlín",2016,4,3,0,11,0,2,0,16
"Aranjuez","Berlín",2016,5,4,1,11,0,1,0,17
"Aranjuez","Berlín",2016,6,2,3,1,0,3,0,9
"Aranjuez","Berlín",2016,7,4,2,8,0,3,2,19
"Aranjuez","Berlín",2016,8,1,0,8,0,3,0,12
"Aranjuez","Berlín",2016,9,2,0,4,0,1,0,7
"Aranjuez","Berlín",2016,10,3,2,5,0,2,1,13
"Aranjuez","Berlín",2016,11,0,1,9,0,2,0,12
"Aranjuez","Berlín",2016,12,3,2,7,0,1,0,13
"Aranjuez","Berlín",2017,1,4,0,7,0,0,1,12
"Aranjuez","Berlín",2017,2,1,1,11,0,4,0,17
"Aranjuez","Berlín",2017,3,3,1,8,0,2,0,14
"Aranjuez","Berlín",2017,4,1,0,6,0,1,1,9
"Aranjuez","Berlín",2017,5,7,0,7,0,3,1,18
"Aranjuez","Berlín",2017,6,1,1,4,0,5,1,12
"Aranjuez","Berlín",2017,7,4,2,14,0,1,0,21
"Aranjuez","Berlín",2017,8,2,2,12,0,1,1,18
"Aranjuez","Berlín",2017,9,2,4,7,0,1,0,14
"Aranjuez","Berlín",2017,10,3,2,3,0,5,0,13
"Aranjuez","Berlín",2017,11,3,3,11,0,0,0,17
"Aranjuez","Berlín",2017,12,0,1,4,0,1,1,7
"Aranjuez","Berlín",2018,1,3,3,7,0,2,0,15
"Aranjuez","Berlín",2018,2,2,1,10,0,2,0,15
"Aranjuez","Berlín",2018,3,2,0,8,0,2,0,12
"Aranjuez","Berlín",2018,4,1,1,7,0,1,0,10
"Aranjuez","Berlín",2018,5,1,1,5,0,1,1,9
"Aranjuez","Berlín",2018,6,2,1,7,0,3,0,13
"Aranjuez","Berlín",2018,7,1,1,12,0,1,2,17
"Aranjuez","Berlín",2018,8,2,2,7,0,4,1,16
"Aranjuez","Berlín",2018,9,0,1,6,0,0,0,7
"Aranjuez","Berlín",2018,10,2,3,7,0,1,0,13
"Aranjuez","Berlín",2018,11,0,1,6,0,0,0,7
"Aranjuez","Berlín",2018,12,4,2,6,0,2,0,14
"Aranjuez","Berlín",2019,1,2,2,8,0,1,0,13
"Aranjuez","Berlín",2019,2,1,0,12,0,1,0,14
"Aranjuez","Berlín",2019,3,3,0,7,0,4,0,14
"Aranjuez","Berlín",2019,4,6,3,3,0,0,0,12
"Aranjuez","Berlín",2019,5,2,1,15,0,1,1,20
"Aranjuez","Berlín",2019,6,3,4,4,0,1,3,15
"Aranjuez","Berlín",2019,7,2,4,4,0,3,3,16
"Aranjuez","Berlín",2019,8,2,1,13,0,4,0,20
"Aranjuez","Berlín",2019,9,3,2,11,0,6,1,23
"Aranjuez","Berlín",2019,10,2,4,8,0,2,1,17
"Aranjuez","Berlín",2019,11,2,5,16,0,4,3,30
"Aranjuez","Berlín",2019,12,4,0,6,0,1,1,12
"Aranjuez","Bermejal-Los Alamos",2014,1,1,0,2,0,2,1,6
"Aranjuez","Bermejal-Los Alamos",2014,2,1,0,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2014,3,2,0,5,0,1,0,8
"Aranjuez","Bermejal-Los Alamos",2014,4,4,1,3,0,0,1,9
"Aranjuez","Bermejal-Los Alamos",2014,5,1,1,1,0,0,0,3
"Aranjuez","Bermejal-Los Alamos",2014,6,1,0,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2014,7,1,0,2,0,0,0,3
"Aranjuez","Bermejal-Los Alamos",2014,8,0,1,0,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2014,9,0,0,5,0,0,1,6
"Aranjuez","Bermejal-Los Alamos",2014,10,0,0,1,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2014,11,2,0,2,0,0,0,4
"Aranjuez","Bermejal-Los Alamos",2014,12,1,0,2,0,0,0,3
"Aranjuez","Bermejal-Los Alamos",2015,1,3,1,1,0,0,0,5
"Aranjuez","Bermejal-Los Alamos",2015,2,2,0,2,0,3,0,7
"Aranjuez","Bermejal-Los Alamos",2015,3,0,1,0,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2015,4,1,2,1,0,0,1,5
"Aranjuez","Bermejal-Los Alamos",2015,5,1,1,6,0,1,0,9
"Aranjuez","Bermejal-Los Alamos",2015,7,1,1,3,0,2,0,7
"Aranjuez","Bermejal-Los Alamos",2015,8,1,0,4,0,0,0,5
"Aranjuez","Bermejal-Los Alamos",2015,9,0,0,1,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2015,10,1,0,3,0,0,0,4
"Aranjuez","Bermejal-Los Alamos",2015,11,3,0,3,0,1,0,7
"Aranjuez","Bermejal-Los Alamos",2015,12,1,2,1,0,0,0,4
"Aranjuez","Bermejal-Los Alamos",2016,1,1,0,1,0,1,0,3
"Aranjuez","Bermejal-Los Alamos",2016,2,2,3,2,0,0,0,7
"Aranjuez","Bermejal-Los Alamos",2016,3,1,0,5,0,0,0,6
"Aranjuez","Bermejal-Los Alamos",2016,4,0,0,1,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2016,5,1,0,1,0,1,0,3
"Aranjuez","Bermejal-Los Alamos",2016,6,0,0,4,0,0,0,4
"Aranjuez","Bermejal-Los Alamos",2016,7,1,0,3,0,1,0,5
"Aranjuez","Bermejal-Los Alamos",2016,8,3,0,2,0,0,0,5
"Aranjuez","Bermejal-Los Alamos",2016,9,3,0,2,0,1,0,6
"Aranjuez","Bermejal-Los Alamos",2016,10,2,0,3,0,0,0,5
"Aranjuez","Bermejal-Los Alamos",2016,11,0,1,2,0,1,0,4
"Aranjuez","Bermejal-Los Alamos",2016,12,2,0,2,0,3,1,8
"Aranjuez","Bermejal-Los Alamos",2017,1,3,0,3,0,0,0,6
"Aranjuez","Bermejal-Los Alamos",2017,2,2,0,2,0,2,0,6
"Aranjuez","Bermejal-Los Alamos",2017,3,0,0,1,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2017,4,0,1,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2017,5,1,0,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2017,6,0,0,1,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2017,7,0,0,1,0,1,0,2
"Aranjuez","Bermejal-Los Alamos",2017,8,0,0,1,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2017,9,2,0,1,0,1,1,5
"Aranjuez","Bermejal-Los Alamos",2017,10,0,1,4,0,0,0,5
"Aranjuez","Bermejal-Los Alamos",2017,11,2,0,2,0,1,0,5
"Aranjuez","Bermejal-Los Alamos",2017,12,0,1,2,0,0,1,4
"Aranjuez","Bermejal-Los Alamos",2018,1,0,0,2,0,0,1,3
"Aranjuez","Bermejal-Los Alamos",2018,2,0,1,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2018,3,2,1,0,0,2,0,5
"Aranjuez","Bermejal-Los Alamos",2018,4,0,1,0,0,2,0,3
"Aranjuez","Bermejal-Los Alamos",2018,5,1,0,0,0,1,0,2
"Aranjuez","Bermejal-Los Alamos",2018,6,0,0,2,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2018,7,1,0,0,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2018,8,1,0,0,0,0,0,1
"Aranjuez","Bermejal-Los Alamos",2018,9,1,0,2,0,1,0,4
"Aranjuez","Bermejal-Los Alamos",2018,10,1,0,3,0,0,0,4
"Aranjuez","Bermejal-Los Alamos",2018,11,1,1,1,0,0,0,3
"Aranjuez","Bermejal-Los Alamos",2018,12,1,0,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2019,1,0,1,1,0,0,0,2
"Aranjuez","Bermejal-Los Alamos",2019,2,0,1,2,0,0,0,3
